Gene_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NSF	42.46314289755553	0.8656775326912878	0.42406889796620667	2.0413605827802823	0.04121499938229728	0.14453113666456333
LRRC37A2	20.30770746801009	-0.25162073475013236	0.8703272773039286	-0.2891104775316188	0.7724968359029835	0.868120719645683
ARL17A	29.60792185918354	0.6060304186121976	0.4599013070868603	1.3177401526665773	0.18759064826319183	0.39227930897365426
MAPK8IP1P2	0.8471268909479941	-0.5649684780643519	2.621519871030674	-0.21551180454803476	0.829368309590641	
RPS26P8	0.7614103818341149	-0.2908483951991915	2.7557707381367096	-0.10554157904871508	0.9159460788933401	
LINC02210	32.172288897638424	-2.317671591029106	1.0523247537839902	-2.202429984370445	0.027634949800254032	0.10971369998580849
LINC02210-CRHR1	0.07019949553480237	1.4809774185139202	2.6047807857546053	0.5685612496119825	0.5696539284728956	
SPPL2C	0.03768591669724733	2.0791815127988253	2.6217456623491135	0.7930523325194921	0.42774733331162396	
MAPT-AS1	0.06502715767511008	1.488493959086112	2.6281724790765986	0.5663608347383237	0.5711485132316257	
MAPT-IT1	0.814376994413488	2.481676119343123	1.7915147956385378	1.3852389750756124	0.1659794067153363	
MAPT	8.203851240785394	-0.9935775050386461	0.9917720167581979	-1.0018204670528512	0.3164303103142365	0.5326181389299567
KANSL1-AS1	5.440344228771918	0.4704744014943904	1.4537276683172897	0.3236331066319809	0.7462158203099656	0.8522494644413388
KANSL1	368.4844384229652	0.13312881844140445	0.43778733264696235	0.3040947247981735	0.7610557256581418	0.8613918524101808
LRRC37A	5.266041500777375	-1.2241815794490067	1.3612121000266342	-0.8993319846518069	0.36847585561537965	0.5777887813547776
NSFP1	1.2310773407888878	-2.1396701697706364	2.533812442172296	-0.8444469425433273	0.3984197001454619	0.6034276007472518
LRRC37A3	17.48040916180793	1.353713299144217	0.5455491620181194	2.4813772862128523	0.013087576514796759	0.06421386462655676
PLEKHM1	242.02303798697457	-0.4451556297285987	0.26993082244905464	-1.6491470877232446	0.09911750487240982	0.26465556108227817
ARHGAP27	222.70944759804632	-0.5949889040736255	0.35802711214886096	-1.6618543229939533	0.09654198706661676	0.26020552544565
UGT2A3	0.06502715767511008	1.488493959086112	2.6281724790765986	0.5663608347383237	0.5711485132316257	
UGT2B15	0.03251357883755504	1.843552628447941	5.058204820672301	0.36446776945717063	0.7155087373628684	
TMPRSS11E	2.2487252212414113	0.9231479538675263	1.5249298290191178	0.6053707759532279	0.5449326642731412	0.716639771455908
MT2P1	272.89773618317327	4.589927259829472	1.6234421725606718	2.827281031260715	0.004694510894866766	0.029829097176700008
YTHDC1	321.21045920064705	0.008888850132838662	0.24974017575834564	0.035592391595975006	0.9716073751063705	0.9835721937992692
ZBTB9	60.65369095266258	-0.08167046044902194	0.7331645525965914	-0.11139444775361286	0.9113035627116164	0.9491821182269509
SYNGAP1	107.42597218546776	0.5677934267874702	0.430127235750765	1.3200592280477565	0.18681524404977734	0.39130643839490853
CUTA	183.95226678726974	1.2478747587532186	0.4674998442599229	2.6692517100806112	0.007602045572337306	0.04262608622686333
PHF1	130.1317263761151	-0.7596906844963935	0.37950834468948935	-2.0017759691633823	0.04530883159295327	0.15452485241277011
RPL12P1	3.190193080754715	1.4357305854799043	1.0383884794907474	1.3826526524870766	0.1667713962599523	0.36637180753170623
KIFC1	348.8257783676464	0.289853398820722	0.25727605111018037	1.1266240972292836	0.25990144636975976	0.47478424935047187
RPS18	2834.375608628324	-0.42951460573749056	0.2621472790997349	-1.6384476970828301	0.10132833622548891	0.26834293437862133
VPS52	150.48812980566998	0.2312253504387934	0.2701025281422832	0.856065109901488	0.3919617661057868	0.5988303397862023
HCG25	4.885947735432024	-2.253083782490329	1.7696030135577236	-1.2732142549647816	0.20294202352721336	0.41115352857631277
COL11A2	12.878723739234331	-1.7311555571958963	1.0419635962144935	-1.6614357387199243	0.096625965061363	0.26038146254982275
COL11A2P1	0.03251357883755504	1.843552628447941	5.058204820672301	0.36446776945717063	0.7155087373628684	
HLA-DPA2	0.07537183339449466	1.4365400640971409	2.667963463996507	0.5384406808724655	0.5902728474778033	
HLA-DPB1	0.7532601461375314	2.149237865818662	1.7393043145675349	1.2356882276538559	0.21657447512064287	
HLA-DPA1	0.2482844033016544	0.002924577760926393	2.543654740303496	0.0011497542156910208	0.9990826290646996	
HLA-DOA	0.5342547233005562	-1.0084206640866582	2.547086056534755	-0.39591150110514467	0.6921703162211321	
BRD2	1040.290788138042	-0.0600926306003191	0.20778645801320414	-0.28920378726750523	0.7724254338104461	0.868120719645683
HLA-DMA	6.473173570652696	-0.5680527498462921	0.9454342012432873	-0.6008379526563329	0.5479479230467778	0.7186730415541619
HLA-DMB	0.2704533064198249	-0.12831534080408313	2.5971929720432527	-0.04940539350956869	0.9605962300138196	
HLA-Z	0.32882857455584136	-0.3352944498506679	2.6662993796926613	-0.12575273894761083	0.8999276535433688	
PSMB9	78.09340467821461	-2.198848396108857	0.5892653977879225	-3.7315077456834245	0.00019033715664002805	0.002128613451932796
TAP1	291.6434477645098	-1.4427428613321631	0.3028321679977168	-4.764166471717234	1.8963590054965345e-06	3.9771702422794066e-05
PSMB8-AS1	5.48946519581352	-4.038528795465162	2.45833233984647	-1.6427920383284627	0.10042596804726368	0.26669220877160565
PSMB8	142.03111998655436	-1.253382618930228	0.3874656601930617	-3.2348224570551816	0.0012171839201437923	0.01005528250584468
TAP2	369.5258078646078	0.6212533180356303	0.9409599926451956	0.6602335092793729	0.5091039915393505	0.688999837044706
HLA-DOB	8.127277436067109	-0.019354614127841147	0.8487884739959503	-0.02280263542779151	0.9818077058049773	0.9896544282183519
HLA-DQA1	0.09754073651266512	1.0429671635226607	2.8340527066723817	0.36801262060763373	0.7128638236969571	
HLA-DRB1	0.07537183339449466	1.4365400640971409	2.667963463996507	0.5384406808724655	0.5902728474778033	
HLA-DRA	1.6307061759002792	-1.660834584087759	2.6356334102156413	-0.6301462781775381	0.5285988838100312	0.7042902043599107
BTNL2	1.1223131418981844	-1.4418058348382723	4.393615105123632	-0.32815934039304095	0.7427911887078025	0.8500252904645749
HCG23	0.9569312481887717	-1.7891108927096935	2.566251932892773	-0.6971688437046561	0.48569713461516006	
RNU6-603P	0.03768591669724733	2.0791815127988253	2.6217456623491135	0.7930523325194921	0.42774733331162396	
NOTCH4	7.768084610126846	-4.335954960677504	2.4632609202196645	-1.760249969902027	0.07836543281973313	0.22536640323950738
GPSM3	25.531430483851633	0.08898566739726955	0.5131347624041674	0.17341578454039824	0.8623246188038427	0.9222771406548156
PBX2	246.44459659516892	0.7901630081531781	0.37196108895332736	2.1243163105491543	0.03364370274861955	0.1253571716740349
AGER	48.67928091107177	-0.2202438644998524	0.448685301734001	-0.49086489717557535	0.6235220059403674	0.7723047432024736
RNF5	91.14982404144578	-1.0647684637521058	0.49443717418100086	-2.1534959735093078	0.031279720201932204	0.11987402796141454
MIR6721	0.03251357883755504	1.843552628447941	5.058204820672301	0.36446776945717063	0.7155087373628684	
AGPAT1	149.97697058586917	1.1700701878112523	0.6703448286178713	1.7454750717234941	0.0809022080031134	0.23003910719106394
EGFL8	4.246696545426587	-3.674004807692365	2.727065666771542	-1.3472373813579137	0.1779037922155462	0.38057766560097894
PPT2-EGFL8	5.171532287005209	-1.0756878450057064	1.1520591812713559	-0.9337088428205832	0.3504541023257126	0.5634560237689402
PPT2	24.960929071137457	-1.3952179676363727	0.9421887372513571	-1.4808264124517512	0.13865283631675454	0.32565731223682626
PRRT1	6.842373490518284	-0.38599295618220036	1.4061498797332639	-0.27450342367160774	0.7836977729261436	0.8746372121710702
